,times
195840,0.020101047
196096,0.019802928
196352,0.019763708
196608,0.02016921
196864,0.020935845
197120,0.023096395
197376,0.020650744
197632,0.021082592
197888,0.020986152
198144,0.020552826
198400,0.021236134
198656,0.021221113
198912,0.02010746
199168,0.020324349
199424,0.020137215
199680,0.020117831
199936,0.020125151
200192,0.020079684
200448,0.020244002
200704,0.020123053
200960,0.020256019
201216,0.020095038
201472,0.020596671
201728,0.020133424
201984,0.020128369
202240,0.020238209
202496,0.020652246
202752,0.020557356
203008,0.02014308
203264,0.020383239
203520,0.020125461
203776,0.020129228
204032,0.020432496
204288,0.020789957
204544,0.020557737
204800,0.020100069
205056,0.020288754
205312,0.020124745
205568,0.020586944
205824,0.020161819
206080,0.020360732
206336,0.020393133
206592,0.021068978
206848,0.020915365
207104,0.020124269
207360,0.020530677
207616,0.020232415
207872,0.020689082
208128,0.021110797
208384,0.021146798
208640,0.020692897
208896,0.021050119
209152,0.020206356
209408,0.02042954
209664,0.020842314
209920,0.020096827
210176,0.020300698
210432,0.020127749
210688,0.02029891
210944,0.020421529
211200,0.02051549
211456,0.020109558
211712,0.020102239
211968,0.020288396
212224,0.020079279
212480,0.020093417
212736,0.020179272
212992,0.02008605
213248,0.020191503
213504,0.020063996
213760,0.020070815
214016,0.020058918
214272,0.02009685
214528,0.020064092
214784,0.02009964
215040,0.020865369
215296,0.02115097
215552,0.020278621
215808,0.020077586
216064,0.020240808
216320,0.02007761
216576,0.020352101
216832,0.020063639
217088,0.024184012
217344,0.020380116
217600,0.020562339
217856,0.020266747
218112,0.020341325
218368,0.020133805
218624,0.02018714
218880,0.020689487
219136,0.02106843
219392,0.020466971
219648,0.020229793
219904,0.021280527
220160,0.020598912
220416,0.020234418
220672,0.02012434
220928,0.020483208
221184,0.02023716
221440,0.020334911
221696,0.020376158
221952,0.020078206
222208,0.020160174
222464,0.020020103
222720,0.020032835
222976,0.020128536
223232,0.02003684
223488,0.020160675
223744,0.020023084
224000,0.020081997
224256,0.020032001
224512,0.020025587
224768,0.020086765
225024,0.020021653
225280,0.020038438
225536,0.020009494
225792,0.020077968
226048,0.020010185
226304,0.020559883
226560,0.020255637
226816,0.020045877
227072,0.020486951
227328,0.020665503
227584,0.020103288
227840,0.020025373
228096,0.020218706
228352,0.021298933
228608,0.020975399
228864,0.020053124
229120,0.020789099
229376,0.020045948
229632,0.022261333
229888,0.021095276
230144,0.021406317
230400,0.020667934
230656,0.02062695
230912,0.020722222
231168,0.020646048
231424,0.020996261
231680,0.020635557
231936,0.022930455
232192,0.021898746
232448,0.021103334
232704,0.021054816
232960,0.021117449
233216,0.020621371
233472,0.021731138
233728,0.021766734
233984,0.020605969
234240,0.02079587
234496,0.021015239
234752,0.020598197
235008,0.020635247
235264,0.02060771
235520,0.021063042
235776,0.020672321
236032,0.022593093
236288,0.02147646
236544,0.021181917
236800,0.020886278
237056,0.02133162
237312,0.02196672
237568,0.021234298
237824,0.020648718
238080,0.020988822
238336,0.021076035
238592,0.020649028
238848,0.021291137
239104,0.020713902
239360,0.021237612
239616,0.021008945
239872,0.021065354
240128,0.021512747
240384,0.021365666
240640,0.020676827
240896,0.027824426
241152,0.022016859
241408,0.021358395
241664,0.020842719
241920,0.02133038
242176,0.021035075
242432,0.021023488
242688,0.021162534
242944,0.020667768
243200,0.021076989
243456,0.021489739
243712,0.021246624
243968,0.020694995
244224,0.020827436
244480,0.020752811
244736,0.020930243
244992,0.020727324
245248,0.020766115
245504,0.020656204
245760,0.021315503
246016,0.021118546
246272,0.020680404
246528,0.020959473
246784,0.020647287
247040,0.020930743
247296,0.020638561
247552,0.020640135
247808,0.0213346
248064,0.021320963
248320,0.020659208
248576,0.020656753
248832,0.020851088
249088,0.020654655
249344,0.02128799
249600,0.021019292
249856,0.020869875
250112,0.020683837
250368,0.021144843
250624,0.020630813
250880,0.020766258
251136,0.020644736
251392,0.020673585
251648,0.020685315
251904,0.021041131
252160,0.021294689
252416,0.020650792
252672,0.021022582
252928,0.020837474
253184,0.020939898
253440,0.020830584
253696,0.021473002
253952,0.020597887
254208,0.021274209
254464,0.020936155
254720,0.021286559
254976,0.020931125
255232,0.024889278
255488,0.023931074
255744,0.020823836
256000,0.021107459
256256,0.021379137
256512,0.020985246
256768,0.021464658
257024,0.021181393
257280,0.020943069
257536,0.021056128
257792,0.020593715
258048,0.020740199
258304,0.020629001
258560,0.020616102
258816,0.02084465
259072,0.021303105
259328,0.020994163
259584,0.021022677
259840,0.021028757
260096,0.020546722
260352,0.021608472
260608,0.020566678
260864,0.020768046
261120,0.020543861
261376,0.020584011
261632,0.020651865
261888,0.020549679
262144,0.020431852
